Unnamed: 0,안흥지 애련정,소래역사관,KT&G상상마당 홍대,명동난타극장,백운계곡관광지
세종문화회관,0.8387647395993798,0.8890529987373603,0.7673855284185761,0.8836986568703507,0.8694069996874162
코엑스 아쿠아리움,0.9791092899845504,0.997849594494962,0.9925206124852768,0.9980786550585408,0.9897378913654488
해피씨어터,0.968669062609486,0.978601035712242,0.8414287069336438,0.981663038986018,0.9648046132683296
덕수궁,0.7484379316076928,0.8061076887007885,0.7627608284169176,0.8265508654784333,0.7618761602169755
석촌호수 서호,0.9641297776583596,0.9192061931678546,0.8696113074204948,0.9014710297208044,0.9590822929603242
경복궁,0.9838785517565662,0.9963135905627918,0.9832155477031802,0.9907535274692284,0.9898032551147136
아트스페이스 이색,0.7283179318812615,0.792665308504506,0.7312262549145311,0.8497367030855638,0.75096431687
국립현대미술관 서울관 아트샵,0.953314972795056,0.9905996559351192,0.9972320376914016,0.9969978985289702,0.9681024903588472
아모레퍼시픽미술관,0.9306006334173896,0.9734399601722412,0.9047478485583562,0.9627976242159196,0.9454038476033204
난지한강공원,0.0,0.0,0.0,0.0,0.0
서울특별시교육청 정독도서관,0.8277789363882082,0.878741874264774,0.7627513499154337,0.8501083338219626,0.846212703843636
라온아트홀,0.919969988301224,0.9485586189954386,0.9173338661306618,0.9151948776554972,0.9151697598881716
명륜당,0.9831709384494166,0.9862855609019372,0.8664134714247511,0.980466522805561,0.994809927861052
남산공원,0.9565011582138332,0.97555095082721,0.8974998961682592,0.9613209468553396,0.9701566559994844
봄날아트홀,0.8754600044545506,0.930751683703416,0.9653793004331326,0.911672237143623,0.8934998038114434
보신각터,0.976452780461663,0.9813109795266536,0.8419835488030427,0.9834330820848198,0.9850307596076718
일산호수공원,0.970588975933524,0.9804157405577448,0.8549487372758142,0.9883129451275504,0.980901155915229
KT&G상상마당 홍대,0.7811857893715557,0.8349981815400302,0.4153121319199058,0.808729573148548,0.8290157022853875
디뮤지엄,0.9143682136468156,0.9288601833125728,0.6917258233445829,0.9066891897789872,0.8989498504626995
판교박물관,0.82957475600973,0.8049293456176108,0.6720563324545672,0.8213689446991811,0.8204974934767617
동춘서커스 상설공연장,0.9375449742057612,0.9687419153199712,0.8483906628467552,0.9701177549857694,0.9407649884345644
동대문디자인플라자(DDP,0.9503879574715716,0.9624266770917926,0.8038286772165197,0.9716081828532412,0.9543835262889192
흥인지문,0.986028078189024,0.998095355124109,0.9841578327444052,0.993035124587211,0.994640172560298
이정웅 스페이스,0.944901272853151,0.9742299130252464,0.8961576670248348,0.984212326826662,0.9506690352291148
벽초지수목원,0.8950545715972383,0.910800938405222,0.7841659405298393,0.900131277551329,0.8955646421484862
화성행궁,0.7422186444959717,0.7708098904228097,0.64320732751903,0.7426405161924248,0.7899663913280126
방화수류정,0.7830650524783964,0.799357966170666,0.8512833671694591,0.77006278071831,0.7960422798920228
잠실종합운동장 올림픽주경기장,0.8906485016868377,0.9173838788469308,0.8859878688888166,0.895695662603399,0.8931417732492892
인천항갑문,0.9620638159487104,0.9887475331841966,0.9012618777685896,0.9895369839129864,0.9737745714941934
템플,0.9744072009135488,0.9979110346522486,0.9943462897526502,0.9991594115881116,0.9846395189228054
안흥지 애련정,0.3408342849465977,0.9448261899067572,0.811548368388711,0.9339563308206632,0.9482666741714963
이천시립월전미술관,0.9680303977759968,0.9915869900221976,0.9069028814781585,0.9678360529962672,0.9769744446646096
명동난타극장,0.9522230152501144,0.97721859496314,0.8515475795416243,0.4010207145001501,0.9593204251095886
그랜드워커힐서울 컨벤션센터,0.9645258320113514,0.9811530038401122,0.8456271382313678,0.989903849164157,0.976225204695436
팔달문,0.9854235238798952,0.9558245269107888,0.9166666666666666,0.9380366256379464,0.9685600366036996
에버랜드,0.9416851774324572,0.9778308228431516,0.8815319828490525,0.9878170107958752,0.9560820002552828
낙천지,0.7965281726365945,0.7546005015481531,0.6792067618245163,0.7797798055885601,0.8105559202166351
